distance_km,Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Road_traffic_density,Weather_conditions,Festival,Time_taken_min,late
10.28,36.0,4.2,2,3.0,Jam,Fog,No,46,1
6.24,21.0,4.7,1,1.0,High,Stormy,No,23,0
13.79,23.0,4.7,1,1.0,Medium,Sandstorms,No,21,0
2.93,34.0,4.3,0,0.0,Low,Sandstorms,No,20,0
19.4,24.0,4.7,1,1.0,Jam,Fog,No,41,1
13.76,29.0,4.5,2,1.0,Jam,Sandstorms,No,20,0
6.22,35.0,4.0,1,1.0,High,Windy,No,33,1
16.85,33.0,4.2,2,1.0,Jam,Sandstorms,No,40,1
4.54,21.0,4.7,0,1.0,Jam,Windy,No,15,0
12.26,25.0,4.1,0,2.0,Jam,Sandstorms,No,36,1
19.62,31.0,4.7,2,0.0,Low,Sandstorms,No,26,0
1.56,37.0,5.0,1,1.0,Low,Sandstorms,No,20,0
20.18,33.0,4.3,2,1.0,Jam,Windy,No,39,1
6.12,25.0,4.0,1,1.0,High,Cloudy,No,34,1
17.08,29.0,4.5,2,1.0,Medium,Sunny,No,15,0
4.47,27.0,5.0,0,0.0,Jam,Stormy,No,18,0
13.68,35.0,4.3,1,0.0,Low,Cloudy,No,38,1
13.97,32.0,4.0,0,1.0,Jam,Windy,No,47,1
16.85,23.0,4.8,2,0.0,Low,Windy,No,12,0
4.67,31.0,4.8,2,1.0,Low,Sandstorms,No,26,0
7.6,36.0,4.1,0,1.0,Low,Stormy,No,22,0
7.72,26.0,4.3,0,0.0,Low,Sandstorms,No,21,0
6.18,38.0,4.9,1,1.0,High,Cloudy,No,25,0
17.3,32.0,3.5,1,0.0,Jam,Stormy,No,35,1
19.91,32.0,4.6,2,1.0,Low,Cloudy,No,30,0
10.72,33.0,4.9,1,1.0,Medium,Sunny,No,22,0
6.13,20.0,4.7,1,0.0,High,Windy,No,10,0
1.52,20.0,4.8,2,1.0,Low,Sandstorms,No,19,0
3.07,35.0,5.0,2,1.0,Low,Sunny,No,11,0
3.11,26.0,4.9,2,0.0,Low,Stormy,No,11,0
10.87,22.0,4.8,1,1.0,Low,Fog,No,28,0
10.87,35.0,4.3,1,1.0,Medium,Cloudy,No,33,1
13.68,37.0,4.7,0,3.0,Jam,Sandstorms,No,52,1
16.83,28.0,4.6,1,1.0,Jam,Stormy,No,22,0
3.03,37.0,4.9,1,1.0,Low,Fog,No,16,0
9.18,23.0,4.9,2,0.0,Jam,Sunny,No,11,0
9.32,27.0,4.9,1,1.0,Medium,Windy,No,25,0
6.21,37.0,4.8,0,1.0,Medium,Cloudy,No,26,0
1.52,33.0,5.0,2,1.0,High,Sunny,No,18,0
6.04,31.0,4.9,1,1.0,Medium,Fog,No,16,0
17.08,31.0,4.8,2,1.0,Low,Stormy,No,23,0
4.72,25.0,5.0,0,0.0,Low,Cloudy,No,15,0
12.46,28.0,4.8,0,1.0,Jam,Sandstorms,No,36,1
9.12,31.0,4.7,2,0.0,Low,Cloudy,No,16,0
14.02,24.0,4.7,0,0.0,Medium,Sunny,No,19,0
13.39,39.0,4.6,1,1.0,Low,Sunny,No,27,0
12.58,39.0,4.2,2,1.0,Jam,Fog,No,49,1
1.49,32.0,4.5,2,0.0,Low,Windy,No,20,0
9.44,36.0,4.7,1,1.0,Jam,Cloudy,No,30,0
11.92,25.0,4.8,1,0.0,Low,Sandstorms,No,18,0
4.66,33.0,4.9,2,0.0,Jam,Sunny,No,22,0
10.64,30.0,4.4,2,1.0,Low,Cloudy,No,34,1
16.82,33.0,5.0,0,0.0,Low,Sandstorms,No,24,0
6.13,36.0,4.9,2,1.0,Medium,Fog,No,17,0
3.0,21.0,4.8,2,0.0,Low,Sandstorms,No,14,0
7.34,39.0,4.9,2,1.0,Jam,Stormy,No,30,0
3.15,23.0,4.8,1,1.0,Low,Stormy,No,15,0
6.29,35.0,4.8,2,1.0,Medium,Fog,No,16,0
13.97,39.0,4.6,1,1.0,Jam,Cloudy,No,36,1
6.08,22.0,4.7,1,1.0,High,Sunny,No,18,0
6.08,32.0,4.6,1,0.0,Medium,Fog,No,17,0
12.58,24.0,4.8,1,1.0,Low,Sandstorms,No,15,0
3.15,29.0,4.7,0,1.0,Low,Fog,No,17,0
9.22,26.0,4.7,1,0.0,Low,Fog,No,10,0
7.86,20.0,4.5,1,1.0,Jam,Fog,No,27,0
13.97,35.0,4.1,1,2.0,Jam,Sandstorms,No,37,1
13.97,39.0,4.6,1,2.0,Jam,Fog,No,44,1
6.06,34.0,4.7,2,1.0,High,Windy,No,28,0
17.08,27.0,4.7,2,1.0,Jam,Cloudy,No,42,1
17.3,30.0,4.8,1,1.0,Low,Windy,No,25,0
17.07,25.0,4.4,2,1.0,Medium,Cloudy,No,39,1
16.82,25.0,4.7,0,0.0,Medium,Stormy,No,20,0
2.98,30.0,5.0,1,1.0,High,Stormy,No,31,1
9.22,24.0,4.6,1,0.0,Jam,Stormy,No,13,0
6.18,25.0,4.8,1,1.0,High,Windy,No,19,0
12.21,37.0,4.6,0,2.0,Low,Fog,Yes,42,1
1.55,24.0,5.0,0,1.0,Low,Fog,No,23,0
16.9,25.0,4.2,0,1.0,Jam,Stormy,No,39,1
1.51,32.0,4.6,2,1.0,Low,Stormy,No,25,0
10.42,34.0,4.7,1,0.0,Low,Sandstorms,No,15,0
3.03,38.0,4.9,2,1.0,Low,Cloudy,No,15,0
13.41,36.0,4.8,2,0.0,Medium,Sunny,No,15,0
7.77,29.0,5.0,0,0.0,Low,Sunny,No,18,0
13.77,36.0,4.7,2,0.0,Low,Sandstorms,No,29,0
7.79,33.0,4.7,0,0.0,Low,Fog,No,20,0
6.22,36.0,4.4,2,1.0,High,Cloudy,No,39,1
16.85,21.0,4.8,0,0.0,Low,Windy,No,19,0
4.61,25.0,4.8,1,1.0,Low,Cloudy,No,19,0
19.88,23.0,4.8,0,0.0,Low,Windy,No,17,0
1.56,25.0,4.6,2,1.0,Low,Stormy,No,15,0
3.03,24.0,4.3,0,0.0,Low,Sandstorms,No,19,0
13.97,27.0,4.6,0,1.0,Jam,Sandstorms,No,29,0
16.83,23.0,4.8,2,1.0,Low,Cloudy,No,22,0
20.21,21.0,4.3,1,0.0,Jam,Fog,No,42,1
3.04,27.0,4.7,2,0.0,Low,Sandstorms,No,12,0
20.25,32.0,4.2,1,1.0,Jam,Cloudy,No,38,1
16.72,25.0,4.6,0,1.0,Low,Sunny,No,23,0
2.98,39.0,4.7,1,0.0,Low,Cloudy,No,15,0
12.16,27.0,4.6,0,1.0,Low,Sunny,No,24,0
16.82,39.0,3.8,1,0.0,Jam,Windy,No,37,1
7.76,31.0,4.8,1,0.0,Low,Sandstorms,No,24,0
9.06,31.0,4.8,2,0.0,Low,Sunny,No,13,0
1.55,20.0,4.8,0,0.0,Low,Cloudy,No,16,0
12.07,36.0,4.9,0,1.0,Medium,Cloudy,No,42,1
13.58,20.0,4.9,0,1.0,Low,Sandstorms,No,17,0
4.47,24.0,4.6,0,0.0,Jam,Cloudy,No,25,0
16.63,39.0,4.2,1,0.0,Medium,Fog,No,39,1
6.23,37.0,4.8,2,0.0,High,Sunny,No,18,0
6.21,32.0,4.9,2,1.0,Medium,Sandstorms,No,28,0
7.46,22.0,4.5,1,1.0,Low,Sandstorms,No,18,0
20.25,23.0,4.9,1,0.0,Low,Windy,No,18,0
16.6,33.0,4.7,1,1.0,Jam,Fog,No,49,1
12.42,27.0,4.6,0,1.0,Low,Sunny,No,21,0
6.12,34.0,4.7,2,0.0,High,Sunny,No,23,0
1.52,26.0,5.0,2,1.0,Low,Fog,No,11,0
9.09,31.0,4.6,0,0.0,Jam,Cloudy,No,25,0
3.06,32.0,4.9,2,0.0,Low,Fog,No,18,0
3.03,27.0,4.7,1,0.0,Low,Cloudy,No,14,0
13.97,21.0,4.9,0,2.0,Medium,Windy,No,36,1
6.29,24.0,4.9,1,1.0,Medium,Fog,No,17,0
1.54,33.0,4.4,0,1.0,Low,Sandstorms,No,28,0
13.97,20.0,4.6,0,0.0,Jam,Fog,Yes,44,1
9.35,31.0,4.3,0,1.0,Low,Windy,No,20,0
10.6,36.0,5.0,1,1.0,Jam,Fog,No,35,1
17.08,31.0,4.2,0,1.0,Jam,Sandstorms,No,50,1
9.22,39.0,4.1,1,1.0,Jam,Stormy,No,34,1
6.08,29.0,4.6,1,0.0,High,Sandstorms,No,23,0
4.67,37.0,4.9,0,1.0,Medium,Fog,No,27,0
6.29,33.0,4.7,0,0.0,High,Cloudy,No,26,0
10.71,31.0,3.9,1,1.0,Low,Cloudy,No,35,1
6.29,37.0,4.6,0,1.0,High,Windy,No,41,1
9.31,26.0,4.4,0,0.0,Low,Sandstorms,No,23,0
17.14,24.0,4.6,0,0.0,Medium,Stormy,No,30,0
3.15,23.0,4.8,1,1.0,Low,Windy,No,19,0
1.57,36.0,4.9,1,1.0,Low,Windy,No,27,0
6.22,39.0,4.8,0,1.0,High,Cloudy,No,28,0
12.46,20.0,4.7,0,1.0,Medium,Sandstorms,No,24,0
20.21,20.0,5.0,0,1.0,Jam,Cloudy,No,36,1
9.08,29.0,4.3,0,0.0,Low,Sandstorms,No,28,0
17.14,36.0,4.8,2,1.0,Medium,Fog,No,31,1
13.63,36.0,4.0,0,3.0,Jam,Sunny,No,44,1
12.07,22.0,4.8,1,1.0,Low,Windy,No,15,0
10.72,38.0,4.4,0,1.0,Medium,Windy,No,33,1
7.6,39.0,4.9,0,0.0,Jam,Fog,No,30,0
7.56,24.0,4.9,1,1.0,Medium,Stormy,No,22,0
11.01,30.0,4.1,0,0.0,Low,Fog,No,43,1
13.83,35.0,4.8,0,3.0,Medium,Fog,No,48,1
13.97,33.0,4.5,2,1.0,Low,Stormy,No,19,0
10.92,39.0,4.7,1,1.0,Medium,Windy,No,21,0
12.12,31.0,4.3,1,0.0,Jam,Windy,No,44,1
1.55,37.0,4.5,2,0.0,Low,Windy,No,26,0
4.66,37.0,4.7,1,1.0,Low,Windy,No,26,0
1.53,33.0,5.0,1,1.0,High,Windy,No,31,1
9.44,24.0,4.6,2,1.0,Low,Stormy,No,19,0
11.92,33.0,4.5,1,0.0,Jam,Sunny,No,18,0
10.49,39.0,4.7,2,1.0,Medium,Fog,No,38,1
13.58,37.0,4.6,1,1.0,Medium,Cloudy,No,32,1
7.68,25.0,4.9,2,1.0,Low,Sandstorms,No,17,0
9.19,28.0,4.8,1,1.0,Medium,Fog,No,11,0
6.22,38.0,4.7,2,1.0,High,Windy,No,31,1
9.33,31.0,4.6,0,0.0,Medium,Windy,No,25,0
9.18,25.0,4.8,2,1.0,Jam,Cloudy,No,22,0
10.88,35.0,4.9,0,3.0,Jam,Fog,No,43,1
10.57,39.0,4.7,0,1.0,Jam,Fog,Yes,42,1
12.1,38.0,3.9,1,0.0,Jam,Stormy,No,42,1
4.66,35.0,4.7,1,1.0,Jam,Fog,No,34,1
2.98,29.0,4.7,1,1.0,Low,Sandstorms,No,17,0
4.56,27.0,4.6,1,0.0,Jam,Stormy,No,25,0
13.99,38.0,4.3,0,1.0,Jam,Sandstorms,Yes,54,1
10.64,36.0,4.9,2,0.0,Low,Windy,No,21,0
13.43,26.0,4.1,2,1.0,Jam,Fog,No,36,1
9.33,36.0,4.9,1,0.0,Medium,Sunny,No,17,0
1.49,21.0,4.7,0,1.0,Low,Sunny,No,16,0
12.42,35.0,4.7,2,1.0,Jam,Sunny,No,27,0
